Intermediate_Population,Population Definition Reported,144,167,180,296,301,314,364,369,372,376,387,522,645
Sem Categoria Macro,Viable/Singlets/Lymphs/CD3+/CD8+/CD27+,,,,,,X,,,,,,,
Sem Categoria Macro,Viable/Singlets/Lymphs/CD3+/CD8+/CD28+,,,,,,X,,,,,,,
Sem Categoria Macro,"Viable/Singlets/Lymphs/CD3+/CD8+/Q1: CD45RAD, CD27+",,,,,,X,,,,,,,
Sem Categoria Macro,"Viable/Singlets/Lymphs/CD3+/CD8+/Q3: CD45RA+, CD27D",,,,,,X,,,,,,,
Sem Categoria Macro,"Viable/Singlets/Lymphs/CD3+/CD8+/Q4: CD45RAD, CD27D",,,,,,X,,,,,,,
Sem Categoria Macro,Viable/Singlets/Lymphs/CD3+/TCRgd,,,,,,X,,,,,,,
Sem Categoria Macro,Viable/Singlets/Lymphs/CD3-,,,,,,X,,,,,,,
Sem Categoria Macro,Viable/Singlets/Lymphs/CD3-/B cells,,,,,,X,,,,,,,
Sem Categoria Macro,Viable/Singlets/Monocytes,,,,,,X,,,,,,,
Sem Categoria Macro,Viable/Singlets/Monocytes/CD33+,,,,,,X,,,,,,,
Sem Categoria Macro,"WBC/CD19+SCC/CD19+/nQ1: CD27,, IgD+,Freq. of,CD19+",,,X,,,,,,,,,,
Sem Categoria Macro,"WBC/CD19+SCC/CD19+/nQ4: CD27,, IgD,Freq. of,CD19+",,,X,,,,,,,,,,
Sem Categoria Macro,granulocyte,X,,,,,,X,X,X,X,,,X
Sem Categoria Macro,"sWBC/lymono/Lin2-Dr+/CD11c+,Freq. of,sWBC",,,X,,,,,,,,,,
Sem Categoria Macro,"sWBC/lymono/Lin2-Dr+/CD123+,Freq. of,sWBC",,,X,,,,,,,,,,
Sem Categoria Macro,"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/CD2-,Freq. of,Q3: BDCA-2+",,,X,,,,,,,,,,
Sem Categoria Macro,"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q1:BDCA-3+,Freq. of,sWBC",,,X,,,,,,,,,,
Sem Categoria Macro,"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q1:BDCA-3+/CD2+,Freq. of,Q1:BDCA-3+",,,X,,,,,,,,,,
Sem Categoria Macro,"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q1:BDCA-3+/CD2-,Freq. of,Q1:BDCA-3+",,,X,,,,,,,,,,
Sem Categoria Macro,"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q1:BDCA-3+/Q1: CD2-,, CD86+,Freq. of,Q1:BDCA-3+",,,X,,,,,,,,,,
Sem Categoria Macro,"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q1:BDCA-3+/Q2: CD2+,, CD86+,Freq. of,Q1:BDCA-3+",,,X,,,,,,,,,,
Sem Categoria Macro,"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q1:BDCA-3+/Q3: CD2+,, CD86-,Freq. of,Q1:BDCA-3+",,,X,,,,,,,,,,
Sem Categoria Macro,"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q1:BDCA-3+/Q4: CD2-,, CD86-,Freq. of,Q1:BDCA-3+",,,X,,,,,,,,,,
Sem Categoria Macro,"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q3: BDCA-2+,Freq. of,sWBC",,,X,,,,,,,,,,
Sem Categoria Macro,"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q3: BDCA-2+/CD2+,Freq. of,Q3: BDCA-2+",,,X,,,,,,,,,,
Sem Categoria Macro,"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q3: BDCA-2+/CD2-,Freq. of,Q3: BDCA-2+",,,X,,,,,,,,,,
Sem Categoria Macro,"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q3: BDCA-2+/Q1: CD2-,, CD86+,Freq. of,Q3: BDCA-2+",,,X,,,,,,,,,,
Sem Categoria Macro,"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q3: BDCA-2+/Q2: CD2+,, CD86+,Freq. of,Q3: BDCA-2+",,,X,,,,,,,,,,
Sem Categoria Macro,"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q3: BDCA-2+/Q3: CD2+,, CD86-,Freq. of,Q3: BDCA-2+",,,X,,,,,,,,,,
Sem Categoria Macro,"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q3: BDCA-2+/Q4: CD2-,, CD86-,Freq. of,Q3: BDCA-2+",,,X,,,,,,,,,,
Sem Categoria Macro,"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q4: BDCA-2-,, BDCA-3-/CD1c+,Freq. of,sWBC",,,X,,,,,,,,,,
Sem Categoria Macro,"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q4: BDCA-2-,, BDCA-3-/CD1c+/CD2+,Freq. of,CD1c+",,,X,,,,,,,,,,
Sem Categoria Macro,"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q4: BDCA-2-,, BDCA-3-/CD1c+/CD2-,Freq. of,CD1c+",,,X,,,,,,,,,,
Sem Categoria Macro,"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q4: BDCA-2-,, BDCA-3-/CD1c+/Q1: CD2-,, CD86+,Freq. of,CD1c+",,,X,,,,,,,,,,
Sem Categoria Macro,"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q4: BDCA-2-,, BDCA-3-/CD1c+/Q2: CD2+,, CD86+,Freq. of,CD1c+",,,X,,,,,,,,,,
Sem Categoria Macro,"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q4: BDCA-2-,, BDCA-3-/CD1c+/Q3: CD2+,, CD86-,Freq. of,CD1c+",,,X,,,,,,,,,,
Sem Categoria Macro,"sing-F/sWBC/Lin2-DR+/minus grans-NK/Q4: BDCA-2-,, BDCA-3-/CD1c+/Q4: CD2-,, CD86-,Freq. of,CD1c+",,,X,,,,,,,,,,
Sem Categoria Macro,"sing/CD45+/CD3+/CD4/non TFH,Freq. of,CD4",,,X,,,,,,,,,,
Sem Categoria Macro,"sing/CD45+/CD3+/CD4/non TFH/1,Freq. of,CD4",,,X,,,,,,,,,,
Sem Categoria Macro,"sing/CD45+/CD3+/CD4/non TFH/1/ICOS,Freq. of,1",,,X,,,,,,,,,,
Sem Categoria Macro,"sing/CD45+/CD3+/CD4/non TFH/17/ICOS,Freq. of,17",,,X,,,,,,,,,,
Sem Categoria Macro,"sing/CD45+/CD3+/CD4/non TFH/2/ICOS,Freq. of,2",,,X,,,,,,,,,,
Sem Categoria Macro,"sing/CD45+/CD3+/CD4/non TFH/Q2: CCR6+,, CXCR3+,Freq. of,CD4",,,X,,,,,,,,,,
Sem Categoria Macro,"sing/CD45+/CD3+/CD4/non TFH/Q2: CCR6+,, CXCR3+/ICOS,Freq. of,Q2: CCR6+, CXCR3+",,,X,,,,,,,,,,
Sem Categoria Macro,"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+,Freq. of,2-WBC",,,X,,,,,,,,,,
Sem Categoria Macro,"sing/WBC/lymono/Lin-DR+/Slan+,Freq. of,WBC",,,X,,,,,,,,,,
Sem Categoria Macro,"sing/WBC/lymono/Lin-DR+/Slan+/Q10: Slan+,, CD86+,Freq. of,Slan+",,,X,,,,,,,,,,
Sem Categoria Macro,"sing/WBC/lymono/Lin-DR+/Slan+/Q11: Slan+,, CD86-,Freq. of,Slan+",,,X,,,,,,,,,,
Sem Categoria Macro,"sing/WBC/lymono/Lin-DR+/Slan+/Q14: Slan+,, CD14+,Freq. of,Slan+",,,X,,,,,,,,,,
Sem Categoria Macro,"sing/WBC/lymono/Lin-DR+/Slan+/Q15: Slan+,, CD14-,Freq. of,Slan+",,,X,,,,,,,,,,
Sem Categoria Macro,"sing/WBC/lymono/Lin-DR+/Slan+/Q2: Slan+,, CD11b+,Freq. of,Slan+",,,X,,,,,,,,,,
Sem Categoria Macro,"sing/WBC/lymono/Lin-DR+/Slan+/Q3: Slan+,, CD11b-,Freq. of,Slan+",,,X,,,,,,,,,,
Sem Categoria Macro,"sing/WBC/lymono/Lin-DR+/Slan+/Q6: Slan+,, CD2+,Freq. of,Slan+",,,X,,,,,,,,,,
Sem Categoria Macro,"sing/WBC/lymono/Lin-DR+/Slan+/Q7: Slan+,, CD2-,Freq. of,Slan+",,,X,,,,,,,,,,
T follicular helper (Tfh) cells,"CD3+, CD4+, CD8-, CXCR5+, CD45RA-",X,,,,,,X,X,X,X,,,X
T follicular helper (Tfh) cells,"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+",X,,,,,,X,X,X,X,,,X
T follicular helper (Tfh) cells,"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+, HLA-DR+",,,,,,,,X,X,X,,,X
T follicular helper (Tfh) cells,"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6+, ICOS+",X,,,,,,X,X,X,X,,,X
T follicular helper (Tfh) cells,"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-",X,,,,,,X,X,X,X,,,X
T follicular helper (Tfh) cells,"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-, HLA-DR+",,,,,,,,X,X,X,,,X
T follicular helper (Tfh) cells,"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3+, CCR6-, ICOS+",X,,,,,,X,X,X,X,,,X
T follicular helper (Tfh) cells,"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+",X,,,,,,X,X,X,X,,,X
T follicular helper (Tfh) cells,"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+, HLA-DR+",,,,,,,,X,X,X,,,X
T follicular helper (Tfh) cells,"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6+, ICOS+",X,,,,,,X,X,X,X,,,X
T follicular helper (Tfh) cells,"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-",X,,,,,,X,X,X,X,,,X
T follicular helper (Tfh) cells,"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-, HLA-DR+",,,,,,,,X,X,X,,,X
T follicular helper (Tfh) cells,"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, CXCR3-, CCR6-, ICOS+",X,,,,,,X,X,X,X,,,X
T follicular helper (Tfh) cells,"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, HLA-DR+",,,,,,,,X,X,X,,,X
T follicular helper (Tfh) cells,"CD3+, CD4+, CD8-, CXCR5+, CD45RA-, ICOS+",X,,,,,,X,X,X,X,,,X
T follicular helper (Tfh) cells,"CD3+, CD4+, CXCR5+, CD45RA-",X,,,,,,,,,,,,
T follicular helper (Tfh) cells,"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3+, CCR6-",X,,,,,,,,,,,,
T follicular helper (Tfh) cells,"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3+, CCR6-, ICOS+",X,,,,,,,,,,,,
T follicular helper (Tfh) cells,"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3-, CCR6+",X,,,,,,,,,,,,
T follicular helper (Tfh) cells,"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3-, CCR6+, ICOS+",X,,,,,,,,,,,,
T follicular helper (Tfh) cells,"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3-, CCR6-",X,,,,,,,,,,,,
T follicular helper (Tfh) cells,"CD3+, CD4+, CXCR5+, CD45RA-, CXCR3-, CCR6-, ICOS+",X,,,,,,,,,,,,
T follicular helper (Tfh) cells,"CD3+, CD4+, CXCR5+, CD45RA-, ICOS+",X,,,,,,,,,,,,
T follicular helper (Tfh) cells,"CD45+/CD3+/CD4/TFH,Freq. of,CD4",,,X,,,,,,,,,,
T follicular helper (Tfh) cells,"CD45+/CD3+/CD4/TFH/1,Freq. of,TFH",,,X,,,,,,,,,,
T follicular helper (Tfh) cells,"CD45+/CD3+/CD4/TFH/1/ICOS,Freq. of,1",,,X,,,,,,,,,,
T follicular helper (Tfh) cells,"CD45+/CD3+/CD4/TFH/17,Freq. of,TFH",,,X,,,,,,,,,,
T follicular helper (Tfh) cells,"CD45+/CD3+/CD4/TFH/17/ICOS,Freq. of,17",,,X,,,,,,,,,,
T follicular helper (Tfh) cells,"CD45+/CD3+/CD4/TFH/2,Freq. of,TFH",,,X,,,,,,,,,,
T follicular helper (Tfh) cells,"CD45+/CD3+/CD4/TFH/2/ICOS,Freq. of,2",,,X,,,,,,,,,,
T follicular helper (Tfh) cells,"CD45+/CD3+/CD4/TFH/ICOS,Freq. of,TFH",,,X,,,,,,,,,,
T follicular helper (Tfh) cells,"CD45+/CD3+/CD4/TFH/Q2: CCR6+,, CXCR3+,Freq. of,TFH",,,X,,,,,,,,,,
T follicular helper (Tfh) cells,"CD45+/CD3+/CD4/TFH/Q2: CCR6+,, CXCR3+/ICOS,Freq. of,Q2: CCR6+, CXCR3+",,,X,,,,,,,,,,
T follicular helper (Tfh) cells,"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-",,,,,,,,,,,X,,
T follicular helper (Tfh) cells,"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3+, CCR6+",,,,,,,,,,,X,,
T follicular helper (Tfh) cells,"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3+, CCR6+/ICOS+",,,,,,,,,,,X,,
T follicular helper (Tfh) cells,"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3+, CCR6-",,,,,,,,,,,X,,
T follicular helper (Tfh) cells,"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3+, CCR6-/ICOS+",,,,,,,,,,,X,,
T follicular helper (Tfh) cells,"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3-, CCR6+",,,,,,,,,,,X,,
T follicular helper (Tfh) cells,"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3-, CCR6+/ICOS+",,,,,,,,,,,X,,
T follicular helper (Tfh) cells,"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3-, CCR6-",,,,,,,,,,,X,,
T follicular helper (Tfh) cells,"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/CXCR3-, CCR6-/ICOS+",,,,,,,,,,,X,,
T follicular helper (Tfh) cells,"Singlet/WBC/Lymph/CD3/CD4/CXCR5+, CD45RA-/ICOS+",,,,,,,,,,,X,,
T follicular helper (Tfh) cells,"Singlets/WBC/Lymph/CD3/CD4/TFH,Freq. of,CD4",,,,X,X,,,,,,,,
T follicular helper (Tfh) cells,"Singlets/WBC/Lymph/CD3/CD4/TFH/1,Freq. of,TFH",,,,X,X,,,,,,,,
T follicular helper (Tfh) cells,"Singlets/WBC/Lymph/CD3/CD4/TFH/1-17,Freq. of,TFH",,,,X,X,,,,,,,,
T follicular helper (Tfh) cells,"Singlets/WBC/Lymph/CD3/CD4/TFH/1-17/DR,Freq. of Parent",,,,X,X,,,,,,,,
T follicular helper (Tfh) cells,"Singlets/WBC/Lymph/CD3/CD4/TFH/1-17/ICOS+,Freq. of Parent",,,,X,X,,,,,,,,
T follicular helper (Tfh) cells,"Singlets/WBC/Lymph/CD3/CD4/TFH/1/DR,Freq. of Parent",,,,X,X,,,,,,,,
T follicular helper (Tfh) cells,"Singlets/WBC/Lymph/CD3/CD4/TFH/1/ICOS+,Freq. of Parent",,,,X,X,,,,,,,,
T follicular helper (Tfh) cells,"Singlets/WBC/Lymph/CD3/CD4/TFH/17,Freq. of,TFH",,,,X,X,,,,,,,,
T follicular helper (Tfh) cells,"Singlets/WBC/Lymph/CD3/CD4/TFH/17/DR,Freq. of Parent",,,,X,X,,,,,,,,
T follicular helper (Tfh) cells,"Singlets/WBC/Lymph/CD3/CD4/TFH/17/ICOS+,Freq. of Parent",,,,X,X,,,,,,,,
T follicular helper (Tfh) cells,"Singlets/WBC/Lymph/CD3/CD4/TFH/2,Freq. of,TFH",,,,X,X,,,,,,,,
T follicular helper (Tfh) cells,"Singlets/WBC/Lymph/CD3/CD4/TFH/2/DR,Freq. of Parent",,,,X,X,,,,,,,,
T follicular helper (Tfh) cells,"Singlets/WBC/Lymph/CD3/CD4/TFH/2/ICOS+,Freq. of Parent",,,,X,X,,,,,,,,
T follicular helper (Tfh) cells,"Singlets/WBC/Lymph/CD3/CD4/TFH/DR,Freq. of Parent",,,,X,X,,,,,,,,
T follicular helper (Tfh) cells,"Singlets/WBC/Lymph/CD3/CD4/TFH/ICOS+,Freq. of,TFH",,,,X,X,,,,,,,,
T follicular helper (Tfh) cells,"sing/CD45+/CD3+/CD4/TFH,Freq. of,CD4",,,X,,,,,,,,,,
T follicular helper (Tfh) cells,"sing/CD45+/CD3+/CD4/TFH/1,Freq. of,TFH",,,X,,,,,,,,,,
T follicular helper (Tfh) cells,"sing/CD45+/CD3+/CD4/TFH/1/ICOS,Freq. of Parent",,,X,,,,,,,,,,
T follicular helper (Tfh) cells,"sing/CD45+/CD3+/CD4/TFH/17,Freq. of,TFH",,,X,,,,,,,,,,
T follicular helper (Tfh) cells,"sing/CD45+/CD3+/CD4/TFH/17/ICOS,Freq. of Parent",,,X,,,,,,,,,,
T follicular helper (Tfh) cells,"sing/CD45+/CD3+/CD4/TFH/2,Freq. of,TFH",,,X,,,,,,,,,,
T follicular helper (Tfh) cells,"sing/CD45+/CD3+/CD4/TFH/2/ICOS,Freq. of Parent",,,X,,,,,,,,,,
T follicular helper (Tfh) cells,"sing/CD45+/CD3+/CD4/TFH/ICOS,Freq. of,TFH",,,X,,,,,,,,,,
T follicular helper (Tfh) cells,"sing/CD45+/CD3+/CD4/TFH/Q2: CCR6+,, CXCR3+,Freq. of,TFH",,,X,,,,,,,,,,
T follicular helper (Tfh) cells,"sing/CD45+/CD3+/CD4/TFH/Q2: CCR6+,, CXCR3+/ICOS,Freq. of,Q2: CCR6+, CXCR3+",,,X,,,,,,,,,,
TEMRA CD4+ T cells,"CD3+, CD4+, CCR7-, CD45RA+",X,,,,,,,,,,,,
TEMRA CD4+ T cells,"ly/CD3+/CD4+/Q11: CD45RA+,, CCR7,Freq. of,CD4+",,,X,,,,,,,,,,
TEMRA CD8+ T cells,"CD3+, CD8+, CCR7-, CD45RA+",X,,,,,,,,,,,,
TEMRA CD8+ T cells,"ly/CD3+/CD8+/Q11: CD45RA+,, CCR7,Freq. of,CD8+",,,X,,,,,,,,,,
Total / Baseline pDCs,"Lin1-, HLA-DR+, BDCA2+, CD11c-",X,,,,,,X,X,X,X,,,X
Total / Baseline pDCs,"Singlet/WBC/Lymo/Lin1-DR+/BDCA2+, CD11c-",,,,,,,,,,,X,,
Total / Baseline pDCs,"Singlets/WBC/Lymph/Lin1-DR+/pDC,Freq. of,WBC",,,,X,X,,,,,,,,
Total / Baseline pDCs,"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+,Freq. of,sWBC",,,X,,,,,,,,,,
Total / Baseline pDCs,"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q5: CD45RA,, CD4+,Freq. of,Q3: BDCA-2+",,,X,,,,,,,,,,
Total / Baseline pDCs,"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q6: CD45RA+,, CD4+,Freq. of,Q3: BDCA-2+",,,X,,,,,,,,,,
Total / Baseline pDCs,"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q7: CD45RA+,, CD4,Freq. of,Q3: BDCA-2+",,,X,,,,,,,,,,
Total / Baseline pDCs,"sWBC/lymono/Lin2-Dr+/Q3: BDCA-2+/Q8: CD45RA,, CD4,Freq. of,Q3: BDCA-2+",,,X,,,,,,,,,,
Total Intermediate Monocytes,"CD14+, HLA-DR+, CD16+",X,,,,,,X,X,X,X,,,X
Total Intermediate Monocytes,"CD14+, HLA-DR+, CD16+, CD11b+",X,,,,,,X,X,X,X,,,X
Total Intermediate Monocytes,"CD14+, HLA-DR+, CD16+, CD11b-",X,,,,,,X,X,X,X,,,X
Total Intermediate Monocytes,"CD14+, HLA-DR+, CD16+, CD62L+",,,,,,,,X,X,X,,,X
Total Intermediate Monocytes,"CD14+, HLA-DR+, CD16+, CD62L-",,,,,,,,X,X,X,,,X
Total Intermediate Monocytes,"CD14+, HLA-DR+, CD16+, CD86-",X,,,,,,X,X,X,X,,,X
Total Intermediate Monocytes,"CD14+, HLA-DR+, CD16+, CX3CR1+",X,,,,,,X,X,X,X,,,X
Total Intermediate Monocytes,"CD14+, HLA-DR+, CD16+, CX3CR1-",X,,,,,,X,X,X,X,,,X
Total Intermediate Monocytes,"CD14+, HLA-DR+, CD16+, SLAN+",X,,,,,,X,X,X,X,,,X
Total Intermediate Monocytes,"CD14+, HLA-DR+, CD16+, SLAN-",X,,,,,,X,X,X,X,,,X
Total Intermediate Monocytes,"CD14+, HLA-DRhi CD16+",X,,,,,,X,X,X,X,,,X
Total Intermediate Monocytes,"CD14+, HLA-DRlo, CD16+",X,,,,,,X,X,X,X,,,X
Total Intermediate Monocytes,"CD14lo, HLA-DR+, CD16+",X,,,,,,X,X,X,X,,,X
Total Intermediate Monocytes,"Singlet/WBC/Mono/CD14+/HLADR/CD14+, CD16+",,,,,,,,,,,X,,
Total Intermediate Monocytes,"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CD11b+",,,,,,,,,,,X,,
Total Intermediate Monocytes,"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CD11b-",,,,,,,,,,,X,,
Total Intermediate Monocytes,"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CD86-",,,,,,,,,,,X,,
Total Intermediate Monocytes,"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CX3CR1+",,,,,,,,,,,X,,
Total Intermediate Monocytes,"Singlet/WBC/Mono/CD14+/HLADR/CD16+, CX3CR1-",,,,,,,,,,,X,,
Total Intermediate Monocytes,"Singlet/WBC/Mono/CD14+/HLADR/CD16+, HLADR+",,,,,,,,,,,X,,
Total Intermediate Monocytes,"Singlet/WBC/Mono/CD14+/HLADR/CD16+, HLADR-",,,,,,,,,,,X,,
Total Intermediate Monocytes,"Singlet/WBC/Mono/CD14+/HLADR/CD16+, SLAN+",,,,,,,,,,,X,,
Total Intermediate Monocytes,"Singlet/WBC/Mono/CD14+/HLADR/CD16+, SLAN-",,,,,,,,,,,X,,
Total Intermediate Monocytes,"Singlets/WBC/mono/CD3-CD19-/mo2/mo3,Freq. of,WBC",,,,X,X,,,,,,,,
Total Intermediate Monocytes,"WBC/2-WBC/lymono/monos/CD14+CD16+,Freq. of,monos",,,X,,,,,,,,,,
Total Intermediate Monocytes,"WBC/2-WBC/lymono/monos/CD14+CD16+/CD11b+,Freq. of,CD14+CD16+",,,X,,,,,,,,,,
Total Intermediate Monocytes,"WBC/2-WBC/lymono/monos/CD14+CD16+/CD62L+,Freq. of,CD14+CD16+",,,X,,,,,,,,,,
Total Intermediate Monocytes,"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+,Freq. of,2-CD14+",,,X,,,,,,,,,,
Total Intermediate Monocytes,"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+/CD11b+,Freq. of,CD14+CD16+",,,X,,,,,,,,,,
Total Intermediate Monocytes,"sing/WBC/2-WBC/2-mono/mo-CD86/2-CD14+/CD14+CD16+/CD62L+,Freq. of,CD14+CD16+",,,X,,,,,,,,,,
Total T cells,CD3+,X,,,,,,X,X,X,X,,,X
Total T cells,"CD45+/CD3+,Freq. of,CD45+",,,X,,,,,,,,,,
Total T cells,Singlet/WBC/Lymph/CD3,,,,,,,,,,,X,,
Total T cells,"Singlets/WBC/Lymph/CD3+,Freq. of,Lymph",,,,X,X,,,,,,,,
Total T cells,"Singlets/WBC/Lymph/CD3,Freq. of,Lymph",,,,X,X,,,,,,,,
Total T cells,"sing/CD45+/CD3+,Freq. of,CD45+",,,X,,,,,,,,,,
Transitional B cells,"CD19+, CD3-, CD14-, CD38+, CD24+",X,,,,,,X,X,X,X,,,X
Transitional B cells,"Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+/CD24+,,CD38+,Freq. of,Q2: CD19+, CD20+",X,,,,,,,,,,,X,
Transitional B cells,"Singlet/WBC/Lymph/CD19/CD38+, CD24+",,,,,,,,,,,X,,
Transitional B cells,"WBC/CD19+SCC/CD19+/n transitional,Freq. of,CD19+",,,X,,,,,,,,,,
Transitional B cells,"sing/WBC/CD19+SCC/CD19+/n transitional,Freq. of Parent",,,X,,,,,,,,,,
Unspecified B cells,"CD19+, CD3-, CD14-",X,,,,,,X,X,X,X,,,X
Unspecified B cells,"CD19+, CD3-, CD14-, CD20+",X,,,,,,X,X,X,X,,,X
Unspecified B cells,"Singlet/CD45+/B lym CD19+,Freq. of,CD45+",X,,,,,,,,,,,X,
Unspecified B cells,"Singlet/CD45+/B lym CD19+/Q2: CD19+,, CD20+,Freq. of,B lym CD19+",X,,,,,,,,,,,X,
Unspecified B cells,Singlet/WBC/Lymph/CD19,,,,,,,,,,,X,,
Unspecified B cells,"Singlet/WBC/Lymph/CD19/CD19+, CD20+",,,,,,,,,,,X,,
Unspecified B cells,"Singlets/WBC/Lymph/CD19,Freq. of,Lymph",,,,X,X,,,,,,,,
Unspecified B cells,"WBC/CD19+SCC/CD19+,Freq. of,WBC",,,X,,,,,,,,,,
Unspecified B cells,"WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD20+,Freq. of,CD19+",,,X,,,,,,,,,,
Unspecified B cells,"WBC/CD19+SCC/CD19+/nQ3: CD19+,, CD20,Freq. of,CD19+",,,X,,,,,,,,,,
Unspecified B cells,"sing/WBC/CD19+SCC/CD19+,Freq. of,WBC",,,X,,,,,,,,,,
Unspecified B cells,"sing/WBC/CD19+SCC/CD19+/nCD19hi,Freq. of,CD19+",,,X,,,,,,,,,,
Unspecified B cells,"sing/WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD20+,Freq. of,CD19+",,,X,,,,,,,,,,
Unswitched Memory B cells,"CD19+, CD3-, CD14-, CD27+",X,,,,,,X,X,X,X,,,X
Unswitched Memory B cells,"CD19+, CD3-, CD14-, CD27+, HLADR+",,,,,,,,,,,,,X
Unswitched Memory B cells,"CD19+, CD3-, CD14-, CD27+, IgD+",X,,,,,,X,X,X,X,,,X
Unswitched Memory B cells,"CD19+, CD3-, CD14-, CD27+, IgD+, CD86+",X,,,,,,X,X,X,X,,,
Unswitched Memory B cells,"CD19+, CD3-, CD14-, CD27+, IgD+, HLADR+",,,,,,,,,,,,,X
Unswitched Memory B cells,Singlet/WBC/Lymph/CD19/CD27+,,,,,,,,,,,X,,
Unswitched Memory B cells,"Singlet/WBC/Lymph/CD19/CD27+, IgD+",,,,,,,,,,,X,,
Unswitched Memory B cells,"Singlet/WBC/Lymph/CD19/CD27+, IgD+/CD86+",,,,,,,,,,,X,,
Unswitched Memory B cells,"Singlets/WBC/Lymph/CD19/CD27,Freq. of,CD19",,,,X,X,,,,,,,,
Unswitched Memory B cells,"WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+,Freq. of,CD19+",,,X,,,,,,,,,,
Unswitched Memory B cells,"WBC/CD19+SCC/CD19+/nQ2: CD27+,, IgD+,Freq. of,CD19+",,,X,,,,,,,,,,
Unswitched Memory B cells,"sing/WBC/CD19+SCC/CD19+/nQ2: CD19+,, CD27+,Freq. of,CD19+",,,X,,,,,,,,,,
Unswitched Memory B cells,"sing/WBC/CD19+SCC/CD19+/nQ2: CD27+,, IgD+,Freq. of,CD19+",,,X,,,,,,,,,,
